% Model:              phononic_alp0(thickness200,r85,isotrope,full_FBZ).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 3 2024, 18:46
% Dimension:          1
% Nodes:              14641
% Expressions:        8
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
-1.5707963267948963E7,4.491612749821867E9,8.190771216005122E9,9.684465456101454E9,1.125370036652392E10,1.1792837600433016E10,1.2576676599314726E10,1.3340306114880745E10,1.8151159850498276E10
-1.5707963267948963E7,4.3771876151684065E9,8.309581677928865E9,9.707575727395174E9,1.119666786736466E10,1.1970822528713764E10,1.2499613830879957E10,1.3371469554774357E10,1.8197972347271553E10
-1.5707963267948963E7,4.265906745726034E9,8.430678457695921E9,9.731422235319715E9,1.1140476598752077E10,1.2142524065270075E10,1.241630268773531E10,1.3400912632421041E10,1.82453974595806E10
-1.5707963267948963E7,4.1581307127609057E9,8.553894998550955E9,9.755989931252932E9,1.1085204403751274E10,1.230745222028649E10,1.2327148600157448E10,1.3428624742151949E10,1.829339509085201E10
-1.5707963267948963E7,4.0542424516780047E9,8.679064351417337E9,9.781255134761616E9,1.1030934187810102E10,1.2232561044949175E10,1.2465103114391794E10,1.3454595953041101E10,1.8341922193028378E10
-1.5707963267948963E7,3.954646887248854E9,8.806019198866812E9,9.807182808874008E9,1.0977756614763659E10,1.213294749261624E10,1.2614961596824322E10,1.3478816981003052E10,1.8390932163507816E10
-1.5707963267948963E7,3.8597697428217044E9,8.934591757828766E9,9.833722777432507E9,1.0925773857935204E10,1.2028708613902294E10,1.2756504781138172E10,1.3501279170184935E10,1.844037330913391E10
-1.5707963267948963E7,3.7700553265006576E9,9.064613552964964E9,9.860804389262098E9,1.0875104902372278E10,1.1920234685216562E10,1.2889206538652779E10,1.3521974481952835E10,1.8490189225515495E10
-1.5707963267948963E7,3.6859630819347596E9,9.195915040922829E9,9.88832887458223E9,1.0825893153560669E10,1.1807903099058554E10,1.3012542945123877E10,1.3540895489962431E10,1.854031559998143E10
-1.5707963267948963E7,3.6079627070545774E9,9.328325042832308E9,9.916158242280327E9,1.0778317504770718E10,1.169207688443271E10,1.3125998619977839E10,1.3558035379974384E10,1.859067827372359E10
-1.5707963267948963E7,3.5365276895158916E9,9.46166989464381E9,9.944098979246386E9,1.0732608602575018E10,1.1573104182527918E10,1.322907383364661E10,1.3573387953228428E10,1.8641188567400547E10
-1.5707963267948963E7,3.472127190713267E9,9.595772116811674E9,9.971878015430931E9,1.068907284759508E10,1.1451318735231192E10,1.332129219313681E10,1.3586947632340322E10,1.8691735188887585E10
-1.5707963267948963E7,3.415216335639303E9,9.73044813620552E9,9.999107578371572E9,1.0648127507403263E10,1.132704172429428E10,1.340220865673557E10,1.3598709468812426E10,1.8742168699993595E10
-1.5707963267948963E7,3.3662251316570725E9,9.86550384428053E9,1.0025235512067282E10,1.0610350367332066E10,1.1200586063470259E10,1.3471417583876316E10,1.360866915137709E10,1.879226907458593E10
-1.5707963267948963E7,3.3255464337279615E9,1.000072435334985E10,1.0049481124466986E10,1.0576543855516153E10,1.1072266685290298E10,1.3528560502415466E10,1.361682301450524E10,1.884167075129663E10
-1.5707963267948963E7,3.2935235733578544E9,1.0070770645939579E10,1.0135844695913748E10,1.0547799559999146E10,1.094242999845617E10,1.3573333276464993E10,1.3623168046524218E10,1.8889665952918007E10
-1.5707963267948963E7,3.270438439346382E9,1.008772248372311E10,1.0270436100711903E10,1.0525512954631214E10,1.0811567817516817E10,1.3605492382653605E10,1.362770189693418E10,1.893460341687064E10
-1.5707963267948963E7,3.256500900714421E9,1.0098788264999767E10,1.0403145234981411E10,1.051124233876372E10,1.0681078329158205E10,1.3624860045702074E10,1.3630422883232252E10,1.8971801790888855E10
-1.5707963267948963E7,3.2518404602547393E9,1.0102653607244518E10,1.0506305604144327E10,1.0506308698180634E10,1.0578654222051607E10,1.3631325539065819E10,1.3631332497637676E10,1.8988317440331375E10
-1.5446163880149815E7,3.256500895658646E9,1.009878825209259E10,1.0403146355441437E10,1.0511240541347586E10,1.068107901827096E10,1.3624861985875437E10,1.3630420942844603E10,1.89718016199155E10
-1.5446163880149815E7,3.2611533552622566E9,1.00950580388793E10,1.034734698317414E10,1.051811221007437E10,1.0734067468755388E10,1.3623864847750898E10,1.362404799975022E10,1.895802602681211E10
-1.5446163880149815E7,3.2750671261616616E9,1.008435036547727E10,1.0236770351308077E10,1.0533268499419804E10,1.084117616292498E10,1.3604593284775429E10,1.36212459080194E10,1.8924732627970596E10
-1.5446163880149815E7,3.298113257000142E9,1.0067854135961758E10,1.0111737552459557E10,1.0555485665758999E10,1.0962086055947657E10,1.3572446750450218E10,1.3616724271724691E10,1.8882427273623283E10
-1.5446163880149815E7,3.330082753690319E9,9.981654023822865E9,1.0047168183854073E10,1.058388183545076E10,1.108661998022842E10,1.3527690890407799E10,1.3610396619171217E10,1.8836102728727337E10
-1.5446163880149815E7,3.370694865745103E9,9.849609994444664E9,1.0023401427907303E10,1.0617277287361038E10,1.1211681599950071E10,1.3470569103303804E10,1.3602265049611773E10,1.878781321721947E10
-1.5446163880149815E7,3.41960759017707E9,9.71668596076312E9,9.997718776683746E9,1.0654655216020857E10,1.1335943077815092E10,1.3401385202816332E10,1.35923324477905E10,1.8738495580215015E10
-1.5446163880149815E7,3.4764295127379994E9,9.583534619792664E9,9.970882260551273E9,1.0695237947228289E10,1.1458645609935925E10,1.3320497283550886E10,1.3580602355722176E10,1.868863986373044E10
-1.5446163880149815E7,3.5407321036477914E9,9.450571697770283E9,9.943445538693537E9,1.0738452897367231E10,1.1579248000730013E10,1.3228310590922342E10,1.3567078948780136E10,1.8638536524617306E10
-1.5446163880149815E7,3.612061685566847E9,9.318106077095804E9,9.915802304614458E9,1.0783880528832048E10,1.1697300162071777E10,1.3125269777997526E10,1.3551767024189716E10,1.8588376944964424E10
-1.5446163880149815E7,3.6899504601630816E9,9.186391395234821E9,9.888232368244993E9,1.0831209717996843E10,1.1812390247342522E10,1.3011850875025358E10,1.3534671992497154E10,1.853829859614195E10
-1.5446163880149815E7,3.773926177131338E9,9.055650230775028E9,9.860935529552505E9,1.0880204689457693E10,1.1924120132416641E10,1.288855329067277E10,1.35157998707334E10,1.848840720612916E10
-1.5446163880149815E7,3.863520222202191E9,8.926086593927103E9,9.834055224624252E9,1.0930681787502016E10,1.203209338731476E10,1.2755892139237423E10,1.3495157277529718E10,1.843878846435981E10
-1.5446163880149815E7,3.958274065163329E9,8.797892872306652E9,9.807694789502882E9,1.0982493442418854E10,1.2135909513297802E10,1.261439114328126E10,1.34727514309065E10,1.838951460865978E10
-1.5446163880149815E7,4.057744133617086E9,8.671253920628654E9,9.781928653801853E9,1.1035517115068945E10,1.2235161801335861E10,1.246457630211868E10,1.3448590149689869E10,1.834064839842693E10
-1.5446163880149815E7,4.161505261026052E9,8.546349568174358E9,9.756810108841925E9,1.108964761888211E10,1.2306970451386261E10,1.2329437638305656E10,1.3422681859695957E10,1.829224521293128E10
